startDate,endDate,activityType,duration,durationUnit,totalEnergyBurned,totalDistance,HKTimeZone,HKWeatherTemperature,HKAverageMETs,HKWeatherHumidity
2020-11-17 22:08:13 +0000,2020-11-17 23:01:35 +0000,TraditionalStrengthTraining,3201.583552,sec,636.902 kcal,,America/New_York,51.8 degF,9.59053,2900
2020-11-19 16:35:12 +0000,2020-11-19 17:16:07 +0000,TraditionalStrengthTraining,2455.380796,sec,331.248 kcal,,America/New_York,50 degF,5.73689,3900
2020-11-22 01:20:17 +0000,2020-11-22 02:01:06 +0000,TraditionalStrengthTraining,2448.786401,sec,467.861 kcal,,America/New_York,51.8 degF,9.13329,8300
2020-11-23 21:19:53 +0000,2020-11-23 21:56:06 +0000,TraditionalStrengthTraining,2173.370525,sec,365.031 kcal,,America/New_York,53.6 degF,7.94219,3300
2020-12-01 02:34:04 +0000,2020-12-01 02:56:21 +0000,TraditionalStrengthTraining,1337.731308,sec,240.599 kcal,,America/New_York,44.6 degF,8.63464,6000
2020-12-03 02:13:11 +0000,2020-12-03 02:45:38 +0000,TraditionalStrengthTraining,1946.992177,sec,263.573 kcal,,America/New_York,33.8 degF,5.99434,5600
2020-12-04 21:07:44 +0000,2020-12-04 21:53:01 +0000,TraditionalStrengthTraining,2716.656894,sec,452.404 kcal,,America/New_York,55.4 degF,7.88944,7600
2020-12-07 02:04:23 +0000,2020-12-07 02:24:14 +0000,TraditionalStrengthTraining,1190.616578,sec,194.629 kcal,,America/New_York,39.2 degF,7.69192,8500
2020-12-08 21:32:51 +0000,2020-12-08 22:07:02 +0000,TraditionalStrengthTraining,2051.652205,sec,363.791 kcal,,America/New_York,42.8 degF,8.57897,4200
2020-12-10 01:43:39 +0000,2020-12-10 02:08:32 +0000,TraditionalStrengthTraining,1489.942448,sec,246.04 kcal,,America/New_York,42.8 degF,7.97103,5600
2020-12-14 21:18:31 +0000,2020-12-14 21:47:43 +0000,TraditionalStrengthTraining,1752.060331,sec,286.76 kcal,,America/New_York,48.2 degF,7.62185,6300
2020-12-17 01:28:51 +0000,2020-12-17 01:46:10 +0000,TraditionalStrengthTraining,1038.90449,sec,207.762 kcal,,America/New_York,33.8 degF,9.87395,9600
2020-12-22 21:27:57 +0000,2020-12-22 22:02:54 +0000,TraditionalStrengthTraining,2097.495757,sec,401.444 kcal,,America/New_York,51.8 degF,9.42385,3300
2020-12-28 03:18:17 +0000,2020-12-28 03:35:12 +0000,TraditionalStrengthTraining,1015.243312,sec,194.229 kcal,,America/New_York,32 degF,8.91315,7600
2021-01-03 01:23:52 +0000,2021-01-03 02:08:38 +0000,TraditionalStrengthTraining,2685.551191,sec,443.189 kcal,,America/New_York,46.4 degF,7.89431,9800
2021-01-06 01:49:41 +0000,2021-01-06 02:24:05 +0000,TraditionalStrengthTraining,2064.081145,sec,368.697 kcal,,America/New_York,44.6 degF,8.74155,6500
2021-01-12 20:55:51 +0000,2021-01-12 21:24:36 +0000,TraditionalStrengthTraining,1725.012861,sec,291.542 kcal,,America/New_York,53.6 degF,8.0032,5000
2021-01-17 20:47:12 +0000,2021-01-17 21:33:05 +0000,TraditionalStrengthTraining,2753.272712,sec,502.051 kcal,,America/New_York,46.4 degF,8.99261,4300
2021-01-18 19:58:57 +0000,2021-01-18 20:59:03 +0000,TraditionalStrengthTraining,3606.551331,sec,570.048 kcal,,America/New_York,44.6 degF,7.42339,3900
2021-01-19 20:27:09 +0000,2021-01-19 21:15:28 +0000,TraditionalStrengthTraining,2898.711572,sec,467.258 kcal,,America/New_York,53.6 degF,7.74189,3500
2021-01-19 21:31:20 +0000,2021-01-19 21:37:10 +0000,TraditionalStrengthTraining,349.966766,sec,76.84 kcal,,America/New_York,53.6 degF,10.9277,3700
2021-01-21 20:53:43 +0000,2021-01-21 21:24:50 +0000,TraditionalStrengthTraining,1867.179735,sec,268.194 kcal,,America/New_York,53.6 degF,6.67426,4300
2021-01-22 21:21:56 +0000,2021-01-22 22:00:13 +0000,TraditionalStrengthTraining,2296.459415,sec,490.129 kcal,,America/New_York,55.4 degF,10.1883,2300
2021-01-24 20:24:15 +0000,2021-01-24 21:17:23 +0000,TraditionalStrengthTraining,3187.248373,sec,464.68 kcal,,America/New_York,44.6 degF,6.62353,2800
2021-01-28 01:46:22 +0000,2021-01-28 02:32:26 +0000,TraditionalStrengthTraining,2763.176627,sec,409.95 kcal,,America/New_York,44.6 degF,6.78319,8100
